Ind,lum,whiteR,whiteG,whiteB
PPG1,198.704629476356,198.2388677371296,198.8932295977488,198.9817910941897
PPG5,212.0271594945816,211.0963172804533,213.0268447322272,211.9583164710644
PPG6,205.7391988977463,204.70652494833183,206.1021552996752,206.40891644523177
PPG7,203.8374668299653,203.58573178199632,203.85517452541336,204.07149418248625
PPG8,207.07690557451653,206.20921501706485,207.76518771331052,207.25631399317407
PPG9,203.405425772419,203.5960813865863,203.4400904295403,203.1801055011304
PPG10,209.6099670799188,208.88779155284723,209.89672200042023,210.0453876864888
PPG11,210.22044931332857,209.78756846868305,210.32412479161704,210.54965467968563
PPG12,208.43815672869985,207.7159134067604,208.61849601215343,208.98006076718573
PPG13,201.03126449577883,200.71472307264125,201.2980795992207,201.0809908154745
PPG14,211.6730055658627,211.4230055658627,211.8532003710575,211.7428107606679
PPG19,209.7930235636749,208.95293884034947,210.07903097696584,210.34710087370928
PPG20,204.1699158629181,203.91340036938232,205.4843012517956,203.11204596757645
PPG22,198.88038578467345,198.90952930076529,199.02232938463152,198.70929866862355
PPG23,208.97093206951027,208.9156398104265,209.06635071090048,208.9308056872038
PPG26,204.90815006468304,204.59508408796896,205.36287192755492,204.7664941785252
PPG27,206.46238609874976,206.72727272727272,206.3591862682772,206.3006993006993
PPG28,197.867771280052,198.2436647173489,197.6798245614035,197.6798245614035
PPG29,207.41161062378168,206.27741228070167,207.8516081871345,208.1058114035088
PPG31,208.5265941372016,208.0961015412512,208.83952855847687,208.6441523118767
PPG32,211.0389420521,210.6060606060606,211.37759170653908,211.1331738437001
PPG33,200.31031307550643,200.8729281767956,200.32872928176795,199.7292817679558
PPG34,202.45637503012776,201.9934924078091,203.4193781634129,201.95625451916123
PPG35,208.2277447625908,208.4968485503332,208.52061948496308,207.6657662524761
PPG36,207.58268251273344,207.5331069609508,207.8332767402377,207.38166383701187
PPG37,206.2938741022392,206.2788339670469,206.81951837769327,205.7832699619772
PPG38,208.67073957577225,208.27776433583352,209.9044277764336,207.8300266150496
PPG39,198.9119827927775,198.5444048225505,199.33622007131945,198.85532348446256
PPG40,199.4047987616099,199.81759545923632,199.4620743034056,198.93472652218784
PPG42,191.415655484178,191.3636688079943,191.5811920057102,191.3021056388294
PPG43,197.96478775226163,198.65386221294364,197.9599164926931,197.28058455114825
PPG44,196.94134550371876,197.49290060851928,197.0933062880325,196.2378296146045
PPG45,209.48286313826063,209.54837957565863,209.3205875495453,209.579622289578
PPG46,204.5026402640264,204.16138613861384,204.20990099009904,205.13663366336635
PPG47,203.0142378559464,202.29459798994972,203.9667085427136,202.78140703517587
PPG48,208.50870378362825,207.52050064738887,208.90375485541648,209.10185584807945
PPG49,210.53741746148205,210.3349229640499,210.68818782098316,210.58914159941307
PPG50,205.77409543786047,205.423072889355,205.88033560566333,206.0188778185632
PPG51,208.9505201012089,208.7295473713804,208.94545965701437,209.17655327523192
PPG52,207.9088788938864,207.25662168915545,208.67166416791605,207.7983508245877
PPG53,203.05692573402416,203.100103626943,202.999378238342,203.0712953367876
PPG54,201.4357192494788,201.4623002084781,201.5373523280056,201.3075052119528
PPG55,210.08613089182776,209.9749067480502,210.216005425568,210.06748050186505
PPG56,203.4163878163878,203.7943371943372,203.35701415701416,203.0978120978121
PPG57,203.53755193352507,203.0210930009588,203.94151486097795,203.65004793863852
PPG58,204.36963572854293,204.04191616766468,204.85217065868264,204.21482035928145
PPG59,208.45612992671815,207.81610219845516,208.8597742127154,208.69251336898395
PPG60,208.56976328398773,208.93585067582063,208.3411285131946,208.43231066294783
PPG61,207.4239588207768,206.84277023865232,208.7753860552176,206.65372016846047
PPG62,203.73123463792777,203.80558706749855,204.02325581395348,203.36486103233125
PPG63,209.9045761830473,209.17921216848677,210.7271840873635,209.8073322932917
PPG30,209.53063135366506,209.54614767255217,209.79494382022472,209.2508025682183
